internalTaxonId,orderName,familyName,genusName,speciesName,scientificName,redlistCategory,yearPublished,populationTrend,CITES,CoP19_new,CITES_CoP19_both
161597,LAMNIFORMES,ALOPIIDAE,Alopias,pelagicus,Alopias pelagicus,Endangered,2019,Decreasing,x,,x
161696,LAMNIFORMES,ALOPIIDAE,Alopias,superciliosus,Alopias superciliosus,Vulnerable,2019,Decreasing,x,,x
39339,LAMNIFORMES,ALOPIIDAE,Alopias,vulpinus,Alopias vulpinus,Vulnerable,2022,Decreasing,x,,x
39335,ORECTOLOBIFORMES,BRACHAELURIDAE,Brachaelurus,colcloughi,Brachaelurus colcloughi,Vulnerable,2015,Decreasing,,,
41732,ORECTOLOBIFORMES,BRACHAELURIDAE,Brachaelurus,waddi,Brachaelurus waddi,Least Concern,2015,Unknown,,,
63107,CHIMAERIFORMES,CALLORHINCHIDAE,Callorhinchus,callorynchus,Callorhinchus callorynchus,Vulnerable,2020,Decreasing,,,
60138,CHIMAERIFORMES,CALLORHINCHIDAE,Callorhinchus,capensis,Callorhinchus capensis,Least Concern,2020,Stable,,,
41743,CHIMAERIFORMES,CALLORHINCHIDAE,Callorhinchus,milii,Callorhinchus milii,Least Concern,2015,Stable,,,
161378,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,acronotus,Carcharhinus acronotus,Endangered,2021,Decreasing,,x,x
161526,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,Vulnerable,2021,Decreasing,,x,x
161564,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,altimus,Carcharhinus altimus,Near Threatened,2020,Decreasing,,x,x
40797,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,amblyrhynchoides,Carcharhinus amblyrhynchoides,Vulnerable,2021,Decreasing,,x,x
39365,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,Endangered,2020,Decreasing,,x,x
39366,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,amboinensis,Carcharhinus amboinensis,Vulnerable,2021,Decreasing,,x,x
39367,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,borneensis,Carcharhinus borneensis,Critically Endangered,2021,Decreasing,,x,x
41741,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,brachyurus,Carcharhinus brachyurus,Vulnerable,2020,Decreasing,,x,x
39368,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,brevipinna,Carcharhinus brevipinna,Vulnerable,2020,Decreasing,,x,x
41733,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,cautus,Carcharhinus cautus,Least Concern,2020,Stable,,x,x
144137478,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,cerdale,Carcharhinus cerdale,Critically Endangered,2020,Decreasing,,x,x
70679787,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,coatesi,Carcharhinus coatesi,Least Concern,2019,Unknown,,x,x
70680197,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,dussumieri,Carcharhinus dussumieri,Endangered,2019,Decreasing,,x,x
39370,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,falciformis,Carcharhinus falciformis,Vulnerable,2021,Decreasing,x,,x
